"ask, pray",be/bedja,ber/beder,bad,bett,be
"arise, step",stiga,stiger,steg,stigit,stig
stink,stinka,stinker,stank,(stunkit),stink
steal,stjäla,stjäl,stal,stulit,stjäl
battle,strida,strider,stred,stridit,strid
"stroke, rub",stryka,stryker,strök,strukit,stryk
strangle,strypa,stryper,ströp/strypte,strypt,stryp
"fall, die (in war), slope",stupa,strupar,stupade/stöp,stupat,stupa
stand,stå,står,stod,stått,stå
hire (archaic),städja,städjer/städer,stadde,statt,städ
suck,suga,suger,sög,sugit,sug
drink alcohol,supa,super,söp,supit,sup
"smart, sting",svida,svider,sved,svidit,svid
"let down, fail",svika,sviker,svek,svikit,svik
disappear (archaic),svinna,svinner,svann,svunnit,svinn
starve,svälta,svälter,svalt/svälte,svultit/svält,svält
swear,svära/svärja,svär/(svärjer),svor,svurit,svär
say,säga,säger,sa/sade,sagt,säg
take,ta/taga,tar/tager,tog,tagit,ta/tag
keep silent,tiga,tiger,teg,tigit,tig
"yell, shriek",tjuta,tjuter,tjöt,tjutit,tjut
"run out, become completely used up",tryta,tryter,tröt,trutit,tryt
"force, compel",tvinga,tvinger/tvingar,tvang/tvingade,tvungit/tvingat,tving/tvinga
should (most likely),"",tör,torde,"",""
dare,töras/tordas,törs,tordes,torts/tordats,""
be,vara,är,var,varit,var
become (archaic),varda,varder,vart,(vordit),""
know,veta,vet,visste,vetat,(vet)
"fold, yield",vika,viker,vek/vikte,vikit/vikt,vik
want,vilja,vill,ville,velat,""
swoosh,vina,viner,ven,vinit,vin
win,vinna,vinner,vann,vunnit,vinn
turn,vrida,vrider,vred,vridit,vrid
grow,växa,växer,växte,växt/vuxit,väx
eat,äta,äter,åt,ätit,ät
