Pengar luktar inte.,Money does not smell.,Money has a value regardless of how it is earned.
Pengar växer inte på träd.,Money does not grow on trees.,
Pengar öppnar alla portar utom himmelens.,Money opens all gates but heaven’s.,
Prisa inte dagen fören solen har gått ner.,Don’t praise the day before the sun has set.,Don’t celebrate until you are 100% sure there is a reason to.
På rullande sten växer ingen mossa.,A rolling stone gathers no moss.,The unsettled person does not prosper.
"Politiker är som krokodiler, stora i käften men saknar öron.",Politicians are like crocodiles—big jaws but no ears.,
