"Om en blind leder en blind, så faller de båda i gropen.",If a blind leads a blind man both shall fall into a ditch.,A person ignorant or inexperienced in something cannot assist someone similar.
Om kvällen får den late brått.,During the evening the lazy get in a hurry.,
Om man ger någon ett finger vill han ha hela handen.,Give him an inch and he will take a yard.,People are inclined to take excessive advantage of the tolerance or generosity of others; often used to warn against making even the smallest concession.
Omväxling förnöjer.,Variety delights.,
Ont krut förgås inte så lätt.,Evil gun powder doesn’t go away easily.,Adverse things are long lived.
Ont skall med ont fördrivas.,Fight fire with fire; Like cures like.,
Osvuret är bäst.,"Be quick to act, and slow to promise.",Avoid making promises (to yourself as well).
Otack är världens lön.,Ingratitude is the world’s reward.,Said when it is felt that someone hasn’t received the praise or compensation he deserves.
